a1_city,a2_province,b3_gender,b4_age,b5_religion,b6_ethnic,b7_education_level,b8_lived_in_urban_area_years,b9_occupation,b10_social_clas,b11_household_member,c12_household_income_monthly_in_million_idr,c13_time_of_income_receipt,c14_household_expenditure_monthly_in_million_idr,c15_%_monthly_expenditure_for_food,d16_health_factor,d17_price_factor,e18_religious_value_in_type_of_food,e19_religious_value_in_eating_places,e20_religious_value_in_consumption_pattern,e21_custom_value_in_type_of_food,e22_custom_value_in_eating_places,e23_custom_value_in_consumption_pattern,24_practice_of_food_consumption_based_on_religious_rules,25_practice_of_food_consumption_based_on_custom_rules,e26_buying_food_product_in_the_right_place_based_on_religious_rules,e27_type_of_dishes_variation_based_on_religious_rules,e28_practice_of_consuming_traditional_food
Jakarta,DKI Jakarta,Female,31,Islam,Java,Senior High School,31,Private Employees,Lower Class,5,03:08:00,Daily,03:02:00,57,Disagree,Agree,Strongly Agree,Neither agree nor disagree,Agree,Strongly Agree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Disagree,Neither agree nor disagree,Agree,Agree
Jakarta,DKI Jakarta,Female,36,Islam,Java,Bachelor degree,32,Private Employees,Lower Class,6,04:02:00,Weekly,04:01:00,43,Neither agree nor disagree,Strongly Agree,Strongly Agree,Agree,Agree,Strongly Agree,Agree,Agree,Disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Strongly Agree
Jakarta,DKI Jakarta,Male,24,Islam,Java,Senior High School,24,Private Employees,Middle Class,5,05:08:00,Weekly,05:05:00,38,Neither agree nor disagree,Agree,Neither agree nor disagree,Agree,Neither agree nor disagree,Neither agree nor disagree,Disagree,Agree,Disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree
Jakarta,DKI Jakarta,Female,63,Islam,Other,Senior High School,32,Private Employees,Lower Class,5,03:01:00,Daily,02:08:00,61,Neither agree nor disagree,Agree,Agree,Agree,Neither agree nor disagree,Agree,Neither agree nor disagree,Agree,Agree,Neither agree nor disagree,Disagree,Neither agree nor disagree,Agree
Jakarta,DKI Jakarta,Male,43,Protestant,Batak,Primary School,43,Government Employees,Lower Class,6,03:04:00,Daily,03:01:00,58,Strongly Disagree,Strongly Agree,Neither agree nor disagree,Strongly Agree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Strongly Agree,Strongly Agree,Agree,Disagree,Agree,Agree
Jakarta,DKI Jakarta,Female,47,Protestant,Java,Senior High School,47,Government Employees,Lower Class,6,04:01:00,Weekly,05:03:00,34,Disagree,Strongly Agree,Agree,Strongly Agree,Agree,Agree,Neither agree nor disagree,Strongly Agree,Strongly Agree,Disagree,Disagree,Strongly Agree,Agree
Jakarta,DKI Jakarta,Female,28,Catholic,Java,Senior High School,28,Enterpreneur,Upper Class,7,13:00:00,Monthly,11:08:00,26,Agree,Disagree,Strongly Agree,Strongly Agree,Agree,Neither agree nor disagree,Neither agree nor disagree,Strongly Agree,Strongly Agree,Agree,Disagree,Agree,Agree
Jakarta,DKI Jakarta,Female,48,Islam,Java,Senior High School,31,Enterpreneur,Lower Class,6,03:02:00,Daily,02:06:00,57,Disagree,Agree,Strongly Agree,Neither agree nor disagree,Agree,Disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Disagree,Neither agree nor disagree,Agree
Jakarta,DKI Jakarta,Female,36,Islam,Java,Senior High School,36,Enterpreneur,Upper Class,6,10:03:00,Monthly,10:00:00,24,Neither agree nor disagree,Disagree,Strongly Agree,Agree,Agree,Neither agree nor disagree,Disagree,Agree,Neither agree nor disagree,Neither agree nor disagree,Disagree,Neither agree nor disagree,Agree
Jakarta,DKI Jakarta,Female,39,Protestant,Other,Bachelor degree,19,Private Employees,Upper Class,7,14:02:00,Monthly,13:09:00,27,Strongly Agree,Disagree,Agree,Neither agree nor disagree,Agree,Agree,Disagree,Neither agree nor disagree,Neither agree nor disagree,Strongly Agree,Agree,Strongly Agree,Agree
Jakarta,DKI Jakarta,Male,53,Catholic,Batak,Master and doctoral degree,12,Private Employees,Lower Class,8,03:04:00,Daily,03:01:00,67,Disagree,Strongly Agree,Strongly Agree,Agree,Strongly Agree,Strongly Agree,Disagree,Agree,Neither agree nor disagree,Neither agree nor disagree,Agree,Neither agree nor disagree,Agree
Jakarta,DKI Jakarta,Male,57,Islam,Java,Primary School,22,Private Employees,Middle Class,7,04:01:00,Weekly,04:04:00,36,Neither agree nor disagree,Strongly Agree,Strongly Agree,Neither agree nor disagree,Strongly Agree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Strongly Agree
Jakarta,DKI Jakarta,Female,46,Islam,Java,Bachelor degree,22,Private Employees,Lower Class,7,05:08:00,Weekly,05:04:00,42,Disagree,Agree,Strongly Agree,Strongly Agree,Strongly Agree,Agree,Neither agree nor disagree,Disagree,Neither agree nor disagree,Agree,Agree,Agree,Strongly Agree
Jakarta,DKI Jakarta,Female,53,Islam,Java,Bachelor degree,22,Private Employees,Lower Class,7,02:03:00,Daily,01:09:00,73,Disagree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Disagree,Neither agree nor disagree,Strongly Agree
Jakarta,DKI Jakarta,Male,58,Islam,Java,Bachelor degree,28,Private Employees,Middle Class,7,04:02:00,Weekly,04:05:00,41,Strongly Agree,Strongly Agree,Agree,Strongly Agree,Agree,Agree,Agree,Agree,Agree,Strongly Agree,Neither agree nor disagree,Strongly Agree,Agree
Jakarta,DKI Jakarta,Female,62,Catholic,Java,Senior High School,11,Private Employees,Middle Class,5,05:09:00,Weekly,04:05:00,33,Agree,Agree,Neither agree nor disagree,Strongly Agree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Strongly Agree,Strongly Agree,Agree,Neither agree nor disagree,Agree,Strongly Agree
Jakarta,DKI Jakarta,Male,41,Islam,Bugis,Bachelor degree,25,Teacher‎/Lecturer,Upper Class,6,11:04:00,Monthly,11:00:00,19,Strongly Agree,Strongly Disagree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Agree
Jakarta,DKI Jakarta,Male,61,Islam,Java,Primary School,34,Teacher‎/Lecturer,Lower Class,6,03:00:00,Daily,02:06:00,69,Neither agree nor disagree,Strongly Agree,Strongly Agree,Strongly Agree,Agree,Agree,Neither agree nor disagree,Agree,Agree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Strongly Agree
Jakarta,DKI Jakarta,Female,23,Islam,Java,Bachelor degree,23,Government Employees,Upper Class,6,15:07:00,Monthly,15:03:00,23,Strongly Agree,Strongly Disagree,Strongly Agree,Strongly Agree,Agree,Agree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Agree
Jakarta,DKI Jakarta,Female,27,Protestant,Batak,Senior High School,27,Government Employees,Upper Class,6,13:02:00,Monthly,12:08:00,25,Strongly Agree,Strongly Disagree,Agree,Strongly Agree,Neither agree nor disagree,Agree,Neither agree nor disagree,Agree,Agree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Strongly Agree
Jakarta,DKI Jakarta,Female,38,Protestant,Batak,Master and doctoral degree,12,Government Employees,Lower Class,6,03:04:00,Daily,03:01:00,57,Disagree,Strongly Agree,Strongly Agree,Neither agree nor disagree,Agree,Agree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Disagree,Agree,Disagree,Disagree
Jakarta,DKI Jakarta,Female,24,Protestant,Java,Bachelor degree,24,Government Employees,Upper Class,7,06:08:00,Weekly,06:05:00,43,Agree,Strongly Disagree,Agree,Strongly Agree,Agree,Agree,Neither agree nor disagree,Strongly Agree,Strongly Agree,Neither agree nor disagree,Agree,Neither agree nor disagree,Neither agree nor disagree
Jakarta,DKI Jakarta,Female,33,Islam,Batak,Senior High School,32,Government Employees,Lower Class,5,04:08:00,Weekly,04:05:00,38,Neither agree nor disagree,Agree,Strongly Agree,Agree,Strongly Agree,Strongly Agree,Agree,Agree,Agree,Strongly Agree,Neither agree nor disagree,Strongly Agree,Strongly Agree
Jakarta,DKI Jakarta,Female,27,Islam,Other,Master and doctoral degree,27,Police Officer‎/Army,Lower Class,6,02:09:00,Daily,02:06:00,61,Disagree,Strongly Agree,Strongly Agree,Agree,Agree,Strongly Agree,Agree,Agree,Agree,Agree,Neither agree nor disagree,Agree,Agree
Jakarta,DKI Jakarta,Female,54,Islam,Other,Senior High School,24,Police Officer‎/Army,Lower Class,5,03:05:00,Daily,03:02:00,58,Strongly Disagree,Agree,Strongly Agree,Agree,Agree,Strongly Agree,Agree,Agree,Agree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree
Jakarta,DKI Jakarta,Female,30,Protestant,Java,Senior High School,30,Private Employees,Middle Class,5,05:07:00,Weekly,05:04:00,34,Disagree,Strongly Agree,Neither agree nor disagree,Agree,Neither agree nor disagree,Neither agree nor disagree,Agree,Agree,Agree,Disagree,Neither agree nor disagree,Disagree,Disagree
Jakarta,DKI Jakarta,Female,61,Catholic,Sunda,Bachelor degree,31,Private Employees,Upper Class,6,11:03:00,Monthly,11:00:00,26,Strongly Agree,Strongly Disagree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Neither agree nor disagree,Agree,Neither agree nor disagree,Neither agree nor disagree
Jakarta,DKI Jakarta,Male,24,Islam,Java,Bachelor degree,24,Government Employees,Lower Class,6,02:07:00,Daily,02:03:00,57,Disagree,Strongly Agree,Neither agree nor disagree,Strongly Agree,Neither agree nor disagree,Neither agree nor disagree,Strongly Agree,Strongly Agree,Strongly Agree,Agree,Neither agree nor disagree,Agree,Agree
Jakarta,DKI Jakarta,Male,33,Islam,Java,Bachelor degree,33,Police Officer‎/Army,Upper Class,7,10:01:00,Monthly,09:07:00,24,Strongly Agree,Strongly Disagree,Strongly Agree,Strongly Agree,Neither agree nor disagree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree
Jakarta,DKI Jakarta,Female,31,Protestant,Java,Diploma,31,Private Employees,Upper Class,6,12:05:00,Monthly,12:01:00,27,Agree,Disagree,Agree,Strongly Agree,Agree,Agree,Strongly Agree,Strongly Agree,Strongly Agree,Agree,Neither agree nor disagree,Agree,Agree
Jakarta,DKI Jakarta,Male,25,Protestant,Java,Diploma,25,Private Employees,Lower Class,6,03:02:00,Daily,02:08:00,67,Neither agree nor disagree,Disagree,Strongly Agree,Neither agree nor disagree,Agree,Strongly Agree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree
Jakarta,DKI Jakarta,Female,34,Islam,Java,Bachelor degree,24,Private Employees,Middle Class,7,06:02:00,Weekly,05:08:00,36,Neither agree nor disagree,Disagree,Agree,Agree,Neither agree nor disagree,Agree,Agree,Agree,Agree,Neither agree nor disagree,Agree,Neither agree nor disagree,Neither agree nor disagree
Jakarta,DKI Jakarta,Male,28,Islam,Java,Master and doctoral degree,22,Enterpreneur,Upper Class,8,06:04:00,Weekly,06:00:00,42,Strongly Agree,Strongly Disagree,Strongly Agree,Neither agree nor disagree,Strongly Agree,Strongly Agree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree
Jakarta,DKI Jakarta,Male,35,Islam,Java,Bachelor degree,15,Enterpreneur,Lower Class,7,03:07:00,Daily,03:03:00,73,Neither agree nor disagree,Agree,Agree,Strongly Agree,Agree,Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Neither agree nor disagree,Strongly Agree,Strongly Agree
Jakarta,DKI Jakarta,Male,63,Islam,Java,Bachelor degree,32,Enterpreneur,Middle Class,7,05:09:00,Weekly,05:05:00,41,Strongly Agree,Agree,Strongly Agree,Agree,Strongly Agree,Strongly Agree,Agree,Agree,Agree,Strongly Agree,Neither agree nor disagree,Strongly Agree,Strongly Agree
Jakarta,DKI Jakarta,Female,41,Islam,Sunda,Bachelor degree,21,Enterpreneur,Middle Class,7,06:07:00,Weekly,06:03:00,33,Strongly Agree,Agree,Agree,Strongly Agree,Agree,Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Neither agree nor disagree,Strongly Agree,Strongly Agree
