city,gender,age,practice_traditional_food,health_factor
Jakarta,Female,31,Agree,Disagree
Jakarta,Female,36,Strongly Agree,Neither agree nor disagree
Jakarta,Male,24,Neither agree nor disagree,Neither agree nor disagree
Jakarta,Female,63,Agree,Neither agree nor disagree
Jakarta,Male,43,Agree,Strongly Disagree
Jakarta,Female,47,Agree,Disagree
Jakarta,Female,28,Agree,Agree
Jakarta,Female,48,Agree,Disagree
Jakarta,Female,36,Agree,Neither agree nor disagree
Jakarta,Female,39,Agree,Strongly Agree
Jakarta,Male,53,Agree,Disagree
Jakarta,Male,57,Strongly Agree,Neither agree nor disagree
Jakarta,Female,46,Strongly Agree,Disagree
Jakarta,Female,53,Strongly Agree,Disagree
Jakarta,Male,58,Agree,Strongly Agree
Jakarta,Female,62,Strongly Agree,Agree
Jakarta,Male,41,Agree,Strongly Agree
Jakarta,Male,61,Strongly Agree,Neither agree nor disagree
Jakarta,Female,23,Agree,Strongly Agree
Jakarta,Female,27,Strongly Agree,Strongly Agree
Jakarta,Female,38,Disagree,Disagree
Jakarta,Female,24,Neither agree nor disagree,Agree
Jakarta,Female,33,Strongly Agree,Neither agree nor disagree
Jakarta,Female,27,Agree,Disagree
Jakarta,Female,54,Neither agree nor disagree,Strongly Disagree
Jakarta,Female,30,Disagree,Disagree
Jakarta,Female,61,Neither agree nor disagree,Strongly Agree
Jakarta,Male,24,Agree,Disagree
Jakarta,Male,33,Neither agree nor disagree,Strongly Agree
Jakarta,Female,31,Agree,Agree
Jakarta,Male,25,Neither agree nor disagree,Neither agree nor disagree
Jakarta,Female,34,Neither agree nor disagree,Neither agree nor disagree
Jakarta,Male,28,Neither agree nor disagree,Strongly Agree
Jakarta,Male,35,Strongly Agree,Neither agree nor disagree
Jakarta,Male,63,Strongly Agree,Strongly Agree
Jakarta,Female,41,Strongly Agree,Strongly Agree
Jakarta,Female,30,Agree,Agree
Jakarta,Female,27,Neither agree nor disagree,Disagree
Jakarta,Female,32,Disagree,Disagree
Jakarta,Female,29,Neither agree nor disagree,Agree
Jakarta,Male,31,Neither agree nor disagree,Disagree
Jakarta,Female,27,Disagree,Disagree
Jakarta,Female,37,Neither agree nor disagree,Neither agree nor disagree
Jakarta,Male,36,Disagree,Disagree
Jakarta,Male,38,Strongly Agree,Strongly Agree
Jakarta,Female,63,Disagree,Disagree
Jakarta,Male,40,Neither agree nor disagree,Agree
Jakarta,Male,30,Neither agree nor disagree,Neither agree nor disagree
Jakarta,Male,33,Neither agree nor disagree,Strongly Agree
Jakarta,Female,29,Agree,Agree
Jakarta,Female,27,Disagree,Disagree
Jakarta,Female,31,Agree,Agree
Jakarta,Female,24,Neither agree nor disagree,Neither agree nor disagree
Jakarta,Female,40,Neither agree nor disagree,Neither agree nor disagree
Jakarta,Female,65,Strongly Agree,Strongly Agree
Jakarta,Female,31,Neither agree nor disagree,Neither agree nor disagree
Jakarta,Female,25,Neither agree nor disagree,Neither agree nor disagree
Jakarta,Male,41,Agree,Neither agree nor disagree
Jakarta,Female,65,Neither agree nor disagree,Strongly Agree
Jakarta,Female,38,Strongly Agree,Strongly Agree
Jakarta,Male,47,Agree,Disagree
Jakarta,Female,28,Neither agree nor disagree,Neither agree nor disagree
Jakarta,Male,48,Neither agree nor disagree,Neither agree nor disagree
Jakarta,Male,27,Neither agree nor disagree,Neither agree nor disagree
Jakarta,Male,39,Neither agree nor disagree,Neither agree nor disagree
Jakarta,Female,53,Disagree,Disagree
Jakarta,Female,57,Neither agree nor disagree,Agree
Jakarta,Female,46,Disagree,Disagree
Jakarta,Female,53,Neither agree nor disagree,Strongly Agree
Jakarta,Female,58,Neither agree nor disagree,Neither agree nor disagree
Jakarta,Male,23,Neither agree nor disagree,Neither agree nor disagree
Jakarta,Male,46,Agree,Agree
Jakarta,Female,34,Disagree,Disagree
Jakarta,Female,30,Agree,Neither agree nor disagree
Jakarta,Female,26,Neither agree nor disagree,Neither agree nor disagree
Jakarta,Female,43,Neither agree nor disagree,Neither agree nor disagree
Jakarta,Male,55,Strongly Agree,Strongly Agree
Jakarta,Male,37,Neither agree nor disagree,Neither agree nor disagree
Jakarta,Male,30,Neither agree nor disagree,Neither agree nor disagree
Jakarta,Female,35,Agree,Agree
Jakarta,Female,29,Neither agree nor disagree,Neither agree nor disagree
Jakarta,Female,41,Strongly Agree,Strongly Agree
Jakarta,Female,31,Disagree,Disagree
Jakarta,Female,36,Neither agree nor disagree,Disagree
Jakarta,Female,52,Neither agree nor disagree,Disagree
Jakarta,Female,64,Neither agree nor disagree,Neither agree nor disagree
Jakarta,Female,35,Agree,Agree
Jakarta,Male,62,Disagree,Disagree
Jakarta,Female,36,Agree,Neither agree nor disagree
Jakarta,Male,52,Neither agree nor disagree,Neither agree nor disagree
Jakarta,Male,55,Neither agree nor disagree,Neither agree nor disagree
Jakarta,Female,34,Strongly Agree,Strongly Agree
Jakarta,Female,30,Neither agree nor disagree,Neither agree nor disagree
Jakarta,Male,61,Neither agree nor disagree,Neither agree nor disagree
Jakarta,Male,23,Agree,Agree
Jakarta,Female,39,Neither agree nor disagree,Neither agree nor disagree
Jakarta,Male,31,Strongly Agree,Strongly Agree
Jakarta,Male,28,Agree,Agree
Jakarta,Male,45,Neither agree nor disagree,Neither agree nor disagree
Jakarta,Female,64,Neither agree nor disagree,Neither agree nor disagree
Jakarta,Female,31,Disagree,Disagree
Jakarta,Female,29,Neither agree nor disagree,Neither agree nor disagree
Jakarta,Female,46,Neither agree nor disagree,Neither agree nor disagree
Jakarta,Female,64,Neither agree nor disagree,Disagree
Jakarta,Female,54,Agree,Agree
Jakarta,Female,47,Disagree,Disagree
Jakarta,Female,28,Agree,Agree
Jakarta,Male,48,Neither agree nor disagree,Disagree
Jakarta,Male,25,Neither agree nor disagree,Neither agree nor disagree
Jakarta,Male,39,Strongly Agree,Strongly Agree
Jakarta,Male,53,Neither agree nor disagree,Neither agree nor disagree
Jakarta,Female,57,Neither agree nor disagree,Neither agree nor disagree
Jakarta,Male,46,Agree,Agree
Jakarta,Male,53,Neither agree nor disagree,Neither agree nor disagree
Jakarta,Male,58,Strongly Agree,Strongly Agree
Jakarta,Female,62,Agree,Agree
Jakarta,Female,33,Disagree,Disagree
Jakarta,Female,37,Neither agree nor disagree,Neither agree nor disagree
Jakarta,Female,32,Neither agree nor disagree,Neither agree nor disagree
Jakarta,Female,35,Neither agree nor disagree,Neither agree nor disagree
Jakarta,Male,31,Agree,Neither agree nor disagree
Jakarta,Male,27,Disagree,Disagree
Jakarta,Female,49,Agree,Agree
Jakarta,Female,55,Neither agree nor disagree,Neither agree nor disagree
Jakarta,Female,54,Neither agree nor disagree,Neither agree nor disagree
Jakarta,Female,47,Strongly Agree,Strongly Agree
Jakarta,Male,28,Neither agree nor disagree,Neither agree nor disagree
Jakarta,Female,48,Neither agree nor disagree,Neither agree nor disagree
Jakarta,Male,26,Agree,Agree
Jakarta,Female,39,Neither agree nor disagree,Agree
Jakarta,Female,53,Strongly Agree,Neither agree nor disagree
Jakarta,Male,57,Agree,Agree
Jakarta,Female,46,Neither agree nor disagree,Neither agree nor disagree
Jakarta,Male,53,Neither agree nor disagree,Neither agree nor disagree
Jakarta,Female,58,Neither agree nor disagree,Neither agree nor disagree
Jakarta,Female,62,Neither agree nor disagree,Neither agree nor disagree
Jakarta,Female,49,Disagree,Agree
