id,name,calories,proteins,fat,carbohydrate
1,Abon,280.0,9.2,28.4,0.0
2,Abon haruwan,513.0,23.7,37.0,21.3
3,Agar-agar,0.0,0.0,0.2,0.0
4,Akar tonjong segar,45.0,1.1,0.4,10.8
5,Aletoge segar,37.0,4.4,0.5,3.8
6,Alpukat segar,85.0,0.9,6.5,7.7
7,Ampas kacang hijau,96.0,3.7,0.6,19.1
8,Ampas Tahu,414.0,26.6,18.3,41.3
9,Ampas tahu kukus,75.0,4.1,2.1,10.7
10,Ampas tahu mentah,67.0,5.0,2.1,8.1
11,Anak sapi daging gemuk segar,184.0,18.8,14.0,0.0
12,Anak sapi daging kurus segar,174.0,19.6,10.0,0.0
13,Anak sapi daging sedang segar,190.0,19.1,12.0,0.0
14,Andaliman segar,99.0,4.6,1.0,18.0
15,Andewi,25.0,1.6,0.2,5.3
16,Anggur hutan segar,30.0,0.5,0.2,6.8
17,Angsa,354.0,16.4,31.5,0.0
18,Anyang sayur,126.0,3.4,7.9,10.3
19,Apel,58.0,0.3,0.4,14.9
20,Apel malang segar,57.0,0.5,0.4,12.8
21,Arbei,37.0,0.8,0.5,8.3
22,Ares sayur,113.0,0.9,7.2,11.2
23,Arrowroot segar,102.0,1.0,0.2,24.1
24,Arwan sirsir,277.0,2.4,25.0,10.7
25,Asam kandis segar,75.0,0.2,1.1,16.1
26,Asam masak di pohon,239.0,2.8,0.6,62.5
27,Asam payak segar,135.0,0.8,0.4,32.1
28,Asan kandis kering,261.0,0.9,1.6,63.3
29,Asinan Bogor sayuran,98.0,3.9,2.6,14.8
30,Ayam,302.0,18.2,25.0,0.0
31,Ayam  goreng Kentuckysayap,297.0,35.9,15.2,1.6
32,Ayam ampela goreng,270.0,32.3,11.2,9.9
33,Ayam dideh/darah segar,75.0,13.8,1.9,0.7
34,Ayam goreng church texa sayap,295.0,34.0,16.0,1.5
35,Ayam goreng church texas dada,338.0,35.2,20.6,0.4
36,Ayam goreng kalasan paha,275.0,37.4,12.2,1.3
37,Ayam goreng kentucky dada,298.0,34.2,16.8,0.1
38,Ayam goreng Kentucky paha,286.0,32.1,16.1,1.1
39,Ayam goreng mbok berek dada,295.0,39.2,13.6,1.0
40,Ayam goreng paha,287.0,31.0,15.7,1.7
41,Ayam goreng pasundan dada,246.0,37.9,9.0,0.7
42,Ayam goreng pasundan paha,245.0,33.1,11.4,0.3
43,Ayam goreng pioneer dada,295.0,37.4,14.7,0.6
44,Ayam goreng sukabumi dada,244.0,36.7,9.2,1.0
45,Ayam goreng sukabumi paha,283.0,35.7,14.3,0.5
46,Ayam hati segar,261.0,27.4,16.1,1.6
47,Ayam taliwang masakan,264.0,18.2,20.1,2.7
48,Ayam usus goreng,473.0,45.2,26.3,13.9
49,Babat,113.0,17.6,4.2,0.0
50,Babi daging gemuk segar,453.0,11.9,45.0,0.0
51,Babi daging kurus segar,371.0,14.1,35.0,0.0
52,Babi ginjal segar,110.0,16.3,4.6,0.8
53,Babi hati segar,129.0,19.7,4.8,1.7
54,Babi hutan masak rica masakan,491.0,24.6,16.3,0.2
55,Bacang,102.9,3.3,2.7,16.3
56,Bagea kelapa asin,450.0,3.2,13.9,78.1
57,Bagea kelapa manis,452.0,1.3,13.8,80.6
58,Bagea kenari asin,529.0,3.2,29.1,63.6
59,Bagea kenari manis,523.0,3.2,28.2,64.2
60,Bagea kw 1,416.0,6.5,9.4,76.3
61,Bagea kw 2,382.0,0.3,3.5,87.2
62,Baje,129.0,1.9,6.6,15.6
63,Bakpia kue,272.0,8.7,6.7,44.1
64,Bakso ,76.0,4.1,2.5,9.2
65,Bakung segar,27.0,2.0,0.2,4.2
66,Bakwan,280.0,8.2,10.2,39.0
67,Baligo,13.0,0.4,0.2,3.0
68,Bantal,190.0,3.3,0.3,43.5
69,Barongko,159.0,3.1,5.8,23.5
70,Batang Tading,137.0,4.3,4.8,19.1
71,Batar daan,107.0,2.2,2.2,19.6
72,Batatas gembili segar,76.0,1.1,0.9,16.0
73,Batatas kelapa ubi bakar,110.0,1.4,1.1,23.4
74,Batatas kelapa ubi kukus,92.0,1.2,0.3,21.0
75,Batatas kelapa ubi segar,89.0,1.1,0.1,21.0
76,Batatas tali ubi rebus,182.0,2.4,0.4,42.2
77,Bawang Bombay,45.0,1.4,0.2,10.3
78,Bawang Merah,39.0,1.5,0.3,0.2
79,Bawang Putih,95.0,4.5,0.2,23.1
80,Bayam kukus,30.0,1.3,0.7,5.8
81,Bayam Merah,51.0,4.6,0.5,10.0
82,Bayam merah segar,41.0,2.2,0.8,6.3
83,Bayam rebus,23.0,1.2,0.6,3.7
84,Bayam segar,36.0,3.5,0.5,6.5
85,Bayam tumis + oncom,102.0,3.7,6.7,6.9
